#OTU ID	Leaf-Ctrl2	Leaf-L3.9-Mericon100-1	Leaf-L3.9-Mericon100-2	Leaf-L3.9-PlantPro100-1	Leaf-L3.9-PlantPro100-2	Leaf-L7-PlantPro100-1	Leaf-L7-PlantPro100.2	Leaf-Magmax100-1	Leaf-Magmax100-2	Root-Ctrl-1	Root-Ctrl-2	Root-Magmax100-1	Root-Magmax100-2	Root-R3.9-Mericon100-1	Root-R3.9-Mericon100-2	Root-R3.9-PlantPro100-1	Root-R3.9-PlantPro100-2	Root-R7-PlantPro100-1	Root-R7-PlantPro100-2	Taxonomy
OTU1	8965	1590154	1179793	2129834	3	2284099	2439456	1373597	1131261	126	10429	1541404	1564314	1519737	1253585	1981699	1681259	1435623	1809159	GS|100.0|DQ347958_S000641302;k:Bacteria,p:Cyanobacteria/Chloroplast,c:Chloroplast,f:Chloroplast,g:Streptophyta;
OTU10	0	0	46	0	0	0	0	61	0	0	0	564	457	2138	2110	21344	3462	14847	16153	GS|99.6|FJ969841_S002221963;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiaceae,g:Rhizobium;
OTU100	0	0	0	0	0	0	0	0	0	0	0	140	113	572	463	892	441	470	673	GS|98.8|HM246142_S002988294;k:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas;
OTU1000	0	0	0	0	0	0	0	0	0	0	0	2	2	19	13	29	18	15	17	SS|0.8500|AY187307_S000571800;k:Bacteria,p:"Proteobacteria"
OTU10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	SS|1.0000|AF122883_S000841839;k:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Legionellales,f:Legionellaceae,g:Legionella
OTU10002	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	SS|1.0000|Z49723_S000016424;k:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria
OTU10004	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	SS|1.0000|AM745438_S000891235;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria
OTU10005	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	SS|1.0000|X56305_S000006614;k:Bacteria
OTU10006	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	2	0	1	SS|1.0000|AB243672_S000622966;k:Bacteria
OTU10007	0	0	0	0	0	0	0	0	0	0	0	2	17	25	4	8	0	1	12	GS|98.0|AB245368_S000627904;k:Bacteria,p:"Bacteroidetes",c:Sphingobacteriia,o:"Sphingobacteriales",f:Sphingobacteriaceae,g:Pedobacter;
OTU10009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	SS|0.8900|AJ292687_S000017618;k:Bacteria,p:candidate_division_WPS-1,g:WPS-1_genera_incertae_sedis
OTU1001	0	0	0	0	0	0	0	0	0	0	0	8	3	10	8	36	4	55	15	SS|0.9900|JF748733_S003803556;k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae
OTU10011	0	0	0	0	0	0	0	0	0	0	0	7	4	6	3	13	5	16	13	GS|98.0|Y12597_S000116232;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp6,g:Gp6;
OTU10013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	SS|0.9900|AM162406_S000650674;k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae
OTU10015	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	SS|1.0000|HE613268_S003258367;k:Bacteria
OTU10017	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	SS|0.8600|AM850678_S000925699;k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae,g:Singulisphaera
