OTU ID	Leaf-Ctrl2	Leaf-L3.9-Mericon100-1	Leaf-L3.9-Mericon100-2	Leaf-L3.9-PlantPro100-1	Leaf-L3.9-PlantPro100-2	Leaf-L7-PlantPro100-1	Leaf-L7-PlantPro100.2	Leaf-Magmax100-1	Leaf-Magmax100-2	Root-Ctrl-1	Root-Ctrl-2	Root-Magmax100-1	Root-Magmax100-2	Root-R3.9-Mericon100-1	Root-R3.9-Mericon100-2	Root-R3.9-PlantPro100-1	Root-R3.9-PlantPro100-2	Root-R7-PlantPro100-1	Root-R7-PlantPro100-2
OTU1	8965	1590154	1179793	2129834	3	2284099	2439456	1373597	1131261	126	10429	1541404	1564314	1519737	1253585	1981699	1681259	1435623	1809159
OTU10	0	0	46	0	0	0	0	61	0	0	0	564	457	2138	2110	21344	3462	14847	16153
OTU100	0	0	0	0	0	0	0	0	0	0	0	140	113	572	463	892	441	470	673
OTU1000	0	0	0	0	0	0	0	0	0	0	0	2	2	19	13	29	18	15	17
OTU10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU10002	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU10004	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0
OTU10005	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
OTU10006	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	2	0	1
OTU10007	0	0	0	0	0	0	0	0	0	0	0	2	17	25	4	8	0	1	12
OTU10009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU1001	0	0	0	0	0	0	0	0	0	0	0	8	3	10	8	36	4	55	15
OTU10011	0	0	0	0	0	0	0	0	0	0	0	7	4	6	3	13	5	16	13
OTU10013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
OTU10015	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU10017	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0
OTU10018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
OTU10019	0	0	0	0	0	0	0	0	0	0	0	24	21	114	66	94	57	72	122
OTU1002	0	0	0	0	0	0	0	0	0	0	0	20	5	33	17	20	13	40	21
OTU10021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU10022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	3
OTU10023	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU10024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU10026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU10028	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0
OTU1003	0	0	0	0	0	0	0	0	0	0	0	6	5	41	30	20	25	14	29
OTU10031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU10033	0	0	0	0	0	0	0	0	0	0	0	1	4	3	2	3	8	2	3
OTU10034	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU10035	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	2
OTU10036	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
OTU10039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
OTU1004	0	0	0	0	0	0	0	0	0	0	0	19	4	51	36	33	60	32	49
OTU10040	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	2	0	2	2
OTU10041	0	0	0	0	0	0	0	0	0	0	0	3	6	2	4	8	1	3	8
OTU10042	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0
OTU10044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU10047	0	0	1	2	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0
OTU10049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
OTU1005	0	0	0	0	0	0	0	0	0	0	0	3	5	59	13	4	8	9	18
OTU10050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU10051	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU10052	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	1
OTU10053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2
OTU10054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
OTU10056	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0
OTU10058	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	4
OTU1006	0	0	0	0	0	0	0	0	0	0	0	36	4	45	17	39	30	24	29
OTU10060	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU10061	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1
OTU10062	0	0	0	0	0	0	0	0	0	0	0	34	5	9	21	23	5	22	34
OTU10063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU10064	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	1	2
OTU10067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0
OTU10068	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0
OTU10069	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
OTU1007	0	0	0	0	0	0	0	0	0	0	0	9	5	22	3	22	15	17	29
OTU10070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU10071	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU10072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	2
OTU10074	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
OTU10079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
OTU1008	0	0	0	0	0	0	0	0	0	0	0	1	31	7	2	18	10	12	18
OTU10080	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
OTU10082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2
OTU10084	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1
OTU10085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU10086	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU10087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2
OTU10088	0	0	0	0	0	0	0	0	0	0	0	1	0	7	1	4	4	3	5
OTU10089	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU1009	0	0	0	0	0	0	0	0	0	0	0	12	18	50	9	28	32	25	35
OTU10090	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2
OTU10091	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	4
OTU10092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0
OTU10093	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
OTU10094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU10095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0
OTU10096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
OTU10097	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU10098	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU101	0	84	1869	31	0	36	78	292	24	0	0	11	0	2	0	9	2	1	2
OTU1010	0	0	0	0	0	0	0	0	0	0	0	12	15	32	17	56	48	49	63
OTU10100	0	0	0	0	0	0	0	0	0	0	0	1	0	5	2	5	0	4	5
OTU10101	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0
OTU10102	0	0	0	0	0	0	0	0	0	0	0	9	100	17	1	24	31	17	13
OTU10103	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
OTU10106	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	5	0
OTU1011	0	15	35	0	0	0	0	0	0	0	0	20	1	9	0	26	6	5	13
OTU10113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU10115	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	5	1	1	8
OTU10118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
OTU10119	0	2	1	0	0	0	0	0	0	0	0	2	1	0	0	12	5	4	2
OTU1012	0	0	0	0	0	0	0	0	0	0	0	7	14	50	17	15	21	12	8
OTU10120	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
OTU10121	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2
OTU10122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
OTU10123	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
