#OTU ID	Leaf-Ctrl-1	Leaf-Ctrl-2	Leaf-L3.9-Mericon100-1	Leaf-L3.9-Mericon100-2	Leaf-L3.9-PlantPro100-1	Leaf-L3.9-PlantPro100-2	Leaf-L7-PlantPro100-1	Leaf-L7-PlantPro100-2	Leaf-Magmax100-1	Leaf-Magmax100-2	Root-Ctrl-1	Root-Magmax100-1	Root-Magmax100-2	Root-R3.9-Mericon100-1	Root-R3.9-Mericon100-2	Root-R3.9-PlantPro100-1	Root-R3.9-PlantPro100-2	Root-R7-PlantPro100-1	Root-R7-PlantPro100-2	Taxonomy
OTU1	0	0	14	1	0	0	1	6	4	157	3	175502	426007	480843	446125	398275	375729	502185	356708	GSL|100.0|MK091423|SH1623679.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae
OTU10	0	0	37312	60282	34907	84006	34552	23996	17608	18274	0	7177	154	194	126	2048	1328	461	1044	GSL|100.0|MG836606|SH1526398.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria
OTU100	0	0	771	1010	1772	688	959	737	206	7	0	0	0	0	3	15	0	24	44	GS|98.3|KF019257|SH1637046.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
OTU1002	0	0	24	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|100.0|DQ826557|SH1507809.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Hymenochaetales,g:Resinicium,s:Resinicium mutabile
OTU1004	0	0	42	0	28	0	0	0	6	0	0	0	0	0	0	0	0	0	0	GS|99.2|MK247929|SH1510179.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae,g:Ceratobasidium
OTU1005	0	0	11	0	0	9	0	0	0	0	0	0	0	22	1	0	4	0	0	GS|100.0|LT796860|SH1157275.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymosphaeriaceae,g:Paraconiothyrium
OTU1007	0	0	0	18	18	11	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.8800|UDB033345|SH1237805.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Typhulaceae,g:Typhula,s:Typhula micans
OTU1008	0	0	11	23	10	15	9	0	0	0	0	0	0	0	0	1	1	0	0	GS|97.5|GU721327|SH1549759.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Neodevriesiaceae,g:Neodevriesia,s:Neodevriesia poagena
OTU1009	0	0	0	0	0	0	21	0	28	0	0	0	0	0	0	0	0	0	0	GS|0.0|None;No hit
OTU101	0	0	0	0	0	0	0	0	0	0	0	4	12	100	2829	19	2934	20	74	SS|1.0000|JX389296|SH1567488.08FU;k:Fungi
OTU1010	0	0	12	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|100.0|LT963453|SH1191712.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Dendryphiella,s:Dendryphiella variabilis
OTU1011	0	0	22	20	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	GS|100.0|LT796897|SH1548020.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymosphaeriaceae,g:Letendraea
OTU1012	0	0	0	0	0	0	0	0	0	0	0	6	0	30	30	1	8	22	28	SS|0.9000|UDB014749|SH1560267.08FU;k:Fungi,p:Glomeromycota,c:Paraglomeromycetes
