	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA
OTU2	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella sinensis
OTU3	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	NA
OTU4	Fungi	NA	NA	NA	NA	NA	NA
OTU5	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	NA
OTU6	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
OTU7	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	NA
OTU8	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Dissoconiaceae	Uwebraunia	NA
OTU9	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU10	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
OTU11	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella siamensis
OTU12	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
OTU13	Fungi	NA	NA	NA	NA	NA	NA
OTU14	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA
OTU15	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	NA
OTU16	Fungi	NA	NA	NA	NA	NA	NA
OTU17	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
OTU18	Fungi	NA	NA	NA	NA	NA	NA
OTU19	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Morosphaeriaceae	Acrocalymma	NA
OTU20	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	NA
OTU21	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	NA
OTU22	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Stagonosporopsis	Stagonosporopsis trachelii
OTU23	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Mattirolomyces	NA
OTU24	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU25	Fungi	NA	NA	NA	NA	NA	NA
OTU26	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	NA	NA
OTU27	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
OTU28	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
OTU29	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
OTU30	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	NA
OTU31	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
OTU32	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
