OTU ID	Leaf-Ctrl-1	Leaf-Ctrl-2	Leaf-L3.9-Mericon100-1	Leaf-L3.9-Mericon100-2	Leaf-L3.9-PlantPro100-1	Leaf-L3.9-PlantPro100-2	Leaf-L7-PlantPro100-1	Leaf-L7-PlantPro100-2	Leaf-Magmax100-1	Leaf-Magmax100-2	Root-Ctrl-1	Root-Magmax100-1	Root-Magmax100-2	Root-R3.9-Mericon100-1	Root-R3.9-Mericon100-2	Root-R3.9-PlantPro100-1	Root-R3.9-PlantPro100-2	Root-R7-PlantPro100-1	Root-R7-PlantPro100-2
OTU1	0	0	14	1	0	0	1	6	4	157	3	175502	426007	480843	446125	398275	375729	502185	356708
OTU10	0	0	37312	60282	34907	84006	34552	23996	17608	18274	0	7177	154	194	126	2048	1328	461	1044
OTU100	0	0	771	1010	1772	688	959	737	206	7	0	0	0	0	3	15	0	24	44
OTU1002	0	0	24	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1004	0	0	42	0	28	0	0	0	6	0	0	0	0	0	0	0	0	0	0
OTU1005	0	0	11	0	0	9	0	0	0	0	0	0	0	22	1	0	4	0	0
OTU1007	0	0	0	18	18	11	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1008	0	0	11	23	10	15	9	0	0	0	0	0	0	0	0	1	1	0	0
OTU1009	0	0	0	0	0	0	21	0	28	0	0	0	0	0	0	0	0	0	0
OTU101	0	0	0	0	0	0	0	0	0	0	0	4	12	100	2829	19	2934	20	74
OTU1010	0	0	12	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1011	0	0	22	20	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU1012	0	0	0	0	0	0	0	0	0	0	0	6	0	30	30	1	8	22	28
OTU1014	0	0	0	0	27	8	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU1015	0	0	4	2	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1016	0	0	0	0	0	0	0	0	0	0	0	0	2	0	20	1	8	15	1
OTU1017	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	8	10	0	5
OTU1018	0	0	0	0	0	0	0	0	0	0	0	5	6	10	4	10	33	3	2
OTU1019	0	0	0	0	0	0	0	0	0	0	0	6	8	27	54	25	31	6	19
OTU102	0	0	61	57	15	10	67	17	35	0	0	8007	7	70	29	68	195	66	160
OTU1020	0	0	2	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0
OTU1021	0	0	15	6	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
